Date,Home,Away,H_rank,A_rank,Rank_diff,Rank_value,Home_GF,Home_GA,Away_GF,Away_GA,H_attack,A_attack,H_defence,A_defence
01/02/2022,Lebanon,Iraq,93,68,25,0.125,1.189814815,1.25,1.193226121,0.778926483,0.872346825,1.228206691,1.286644951,0.57109227
24/03/2022,Lebanon,Syria,93,78,15,0.075,1.239814815,1.2,1.261147186,1.38982684,0.909005757,1.298118928,1.235179153,1.018991372
24/03/2022,Vietnam,Oman,92,80,12,0.06,1.534444444,0.704444444,1.135897436,1.193846154,1.125021912,1.169197361,0.72509591,0.875302516
24/03/2022,Australia,Japan,41,28,13,0.065,2.420106383,0.724574468,1.74,0.626666667,1.774370341,1.791009772,0.745816065,0.459458623
24/03/2022,Iraq,United Arab Emirates,68,73,-5,-0.025,1.696945701,0.786840121,1.547222222,1.266666667,1.244164365,1.592580528,0.809907095,0.928692962
24/03/2022,China PR,Saudi Arabia,76,66,10,0.05,1.988095238,0.864285714,1.409440559,0.941608392,1.457628991,1.450759663,0.889623081,0.690367173
24/03/2022,South Korea,Iran,39,30,9,0.045,1.84533189,0.67462963,2.001521739,0.56852657,1.352957951,2.060198272,0.694407045,0.416831545
29/03/2022,Syria,Iraq,78,68,10,0.05,2.020707071,0.842929293,1.118226121,0.853926483,1.481539291,1.151007994,0.867640575,0.626080669
29/03/2022,Iran,Lebanon,30,93,-63,-0.315,3.09142825,0.185674764,0.336923077,1.686794872,2.266569204,0.346800301,0.191117998,1.236721994
29/03/2022,Oman,China PR,80,76,4,0.02,1.364079602,0.726965174,1.363108504,1.052336266,1.000114047,1.40306934,0.748276857,0.771550487
29/03/2022,United Arab Emirates,South Korea,73,39,34,0.17,1.950383357,1.034656382,1.388660969,0.993817664,1.429979445,1.4293709,1.064988328,0.728645897
29/03/2022,Saudi Arabia,Australia,66,41,25,0.125,1.660766158,1.028050109,2.341666667,0.567424242,1.217638296,2.410314876,1.058188386,0.416023342
29/03/2022,Japan,Vietnam,28,92,-64,-0.32,2.872188552,0.642542088,1.328888889,1.7,2.105827337,1.367846544,0.661378826,1.246403712
