Home,Away,H_rank,A_rank,Rank_diff,Rank_value,Home_GF,Home_GA,Away_GF,Away_GA,H_attack,A_attack,H_defence,A_defence
South Korea,Japan,39,28,11,0.055,1.89033189,0.62962963,1.675,0.691666667,1.385950991,1.724104235,0.648087827,0.507115236
Japan,South Korea,28,39,-11,-0.055,2.552188552,0.962542088,1.218660969,1.163817664,1.871210168,1.254387186,0.990759934,0.853286269
