date,home_team,away_team,home_score,away_score,H_rank,A_rank,Rank_diff,Rank_value,H_attack,H_defence,A_attack,A_defence
05/12/2019,Qatar,Saudi Arabia,0,1,57,69,-12,-0.06,1.539100131,0.793986077,1.337534908,0.771016825
10/12/2019,China PR,Japan,1,2,72,29,43,0.215,1.336654513,1.059460214,1.945407166,0.349481825
15/12/2019,South Korea,China PR,1,0,38,72,-34,-0.17,1.510591362,0.473104114,1.207499307,0.910854431
18/12/2019,South Korea,Japan,1,0,38,29,9,0.045,1.352957951,0.694407045,1.770423453,0.474122196
17/11/2020,South Korea,Qatar,2,1,39,56,-17,-0.085,1.448271177,0.560595971,1.343109886,0.855674555
12/01/2021,United Arab Emirates,Iraq,0,0,73,68,5,0.025,1.536290349,0.915737513,1.125275095,0.644410136
25/03/2021,Japan,South Korea,3,0,28,39,-11,-0.055,1.911534994,0.934147556,1.197774809,0.893611094
30/03/2021,Iran,Syria,3,0,30,78,-48,-0.24,2.211580805,0.268316695,0.9738844,1.249942648
07/06/2021,Oman,Qatar,0,1,80,58,22,0.11,0.934127968,0.840915293,1.543826498,0.712704718
13/06/2021,South Korea,Lebanon,2,1,39,93,-54,-0.27,1.583909228,0.370172518,0.393119519,1.203728955
15/06/2021,China PR,Syria,3,1,76,78,-2,-0.01,1.50161971,0.827864123,1.210627071,1.081311558
15/06/2021,Iran,Iraq,1,0,30,68,-38,-0.19,2.174921872,0.319782493,0.903972164,0.802043546
15/06/2021,United Arab Emirates,Vietnam,3,2,73,92,-19,-0.095,1.624271788,0.792219598,1.599442635,1.081438515
