date,home_team,away_team,home_score,away_score,H_Rank,A_Rank,RankDiff,RankValue,H_attack,H_defence,A_attack,A_defence
7/19/2017,United States,El Salvador,2,0,27,107,-80,-0.4,1.921150062,1.278586803,1.172121163,2.395941359
7/20/2017,Jamaica,Canada,2,1,68,105,-37,-0.185,1.77726754,1.097131396,2.174797551,1.907008271
7/20/2017,Mexico,Honduras,1,0,16,70,-54,-0.27,1.74650997,1.382989699,0.888739384,3.040863016
7/22/2017,United States,Costa Rica,2,0,27,21,6,0.03,1.921150062,1.278586803,0.853189808,2.511484368
7/23/2017,Mexico,Jamaica,0,1,16,68,-52,-0.26,1.74650997,1.382989699,1.316085571,2.082587213
7/26/2017,United States,Jamaica,2,1,27,68,-41,-0.205,1.921150062,1.278586803,1.316085571,2.082587213
09/01/2017,Mexico,Panama,1,0,16,56,-40,-0.2,1.74650997,1.382989699,0.887015101,2.801009915
09/01/2017,United States,Costa Rica,0,2,27,21,6,0.03,1.921150062,1.278586803,0.853189808,2.511484368
09/02/2017,Canada,Jamaica,2,0,105,68,37,0.185,2.675231735,0.770887198,1.316085571,2.082587213
09/05/2017,Costa Rica,Mexico,1,1,21,16,5,0.025,1.089037704,1.30970861,1.4277284,1.787599909
09/05/2017,Honduras,United States,1,1,70,27,43,0.215,1.442923776,1.223455233,0.989811706,2.099226611
10/06/2017,United States,Panama,4,0,27,56,-29,-0.145,1.921150062,1.278586803,0.887015101,2.801009915
10/07/2017,Costa Rica,Honduras,1,1,21,70,-49,-0.245,1.089037704,1.30970861,0.888739384,3.040863016
10/08/2017,El Salvador,Canada,1,0,107,105,2,0.01,1.384374708,0.833338264,2.174797551,1.907008271
10/10/2017,Honduras,Mexico,3,2,70,16,54,0.27,1.442923776,1.223455233,1.4277284,1.787599909
10/10/2017,Panama,Costa Rica,2,1,56,21,35,0.175,1.704020369,1.524614396,0.853189808,2.511484368
06/02/2018,El Salvador,Honduras,1,0,78,62,16,0.08,1.384374708,0.833338264,0.888739384,3.040863016
09/11/2018,United States,Mexico,1,0,24,16,8,0.04,1.921150062,1.278586803,1.4277284,1.787599909
10/11/2018,Mexico,Costa Rica,3,2,16,31,-15,-0.075,1.74650997,1.382989699,0.853189808,2.511484368
11/16/2018,Honduras,Panama,1,0,62,61,1,0.005,1.442923776,1.223455233,0.887015101,2.801009915
1/27/2019,United States,Panama,3,0,24,77,-53,-0.265,1.921150062,1.278586803,0.887015101,2.801009915
02/02/2019,United States,Costa Rica,2,0,24,43,-19,-0.095,1.921150062,1.278586803,0.853189808,2.511484368
3/24/2019,El Salvador,Jamaica,2,0,71,51,20,0.1,1.384374708,0.833338264,1.316085571,2.082587213
3/26/2019,Costa Rica,Jamaica,1,0,43,51,-8,-0.04,1.089037704,1.30970861,1.316085571,2.082587213
06/05/2019,United States,Jamaica,0,1,24,51,-27,-0.135,1.921150062,1.278586803,1.316085571,2.082587213
6/17/2019,Jamaica,Honduras,3,2,51,63,-12,-0.06,1.77726754,1.097131396,0.888739384,3.040863016
6/19/2019,Mexico,Canada,3,1,14,75,-61,-0.305,1.74650997,1.382989699,2.174797551,1.907008271
6/21/2019,El Salvador,Jamaica,0,0,71,51,20,0.1,1.384374708,0.833338264,1.316085571,2.082587213
6/25/2019,Honduras,El Salvador,4,0,63,71,-8,-0.04,1.442923776,1.223455233,1.172121163,2.395941359
6/26/2019,United States,Panama,1,0,24,77,-53,-0.265,1.921150062,1.278586803,0.887015101,2.801009915
6/29/2019,Mexico,Costa Rica,1,1,14,43,-29,-0.145,1.74650997,1.382989699,0.853189808,2.511484368
6/30/2019,Jamaica,Panama,1,0,51,77,-26,-0.13,1.77726754,1.097131396,0.887015101,2.801009915
07/03/2019,United States,Jamaica,3,1,24,51,-27,-0.135,1.921150062,1.278586803,1.316085571,2.082587213
07/07/2019,United States,Mexico,0,1,24,14,10,0.05,1.921150062,1.278586803,1.4277284,1.787599909
09/06/2019,United States,Mexico,0,3,24,14,10,0.05,1.921150062,1.278586803,1.4277284,1.787599909
10/15/2019,Canada,United States,2,0,75,24,51,0.255,2.675231735,0.770887198,0.989811706,2.099226611
10/15/2019,Mexico,Panama,3,1,14,77,-63,-0.315,1.74650997,1.382989699,0.887015101,2.801009915
11/15/2019,United States,Canada,4,1,24,75,-51,-0.255,1.921150062,1.278586803,2.174797551,1.907008271
11/15/2019,Panama,Mexico,0,3,77,14,63,0.315,1.704020369,1.524614396,1.4277284,1.787599909
02/01/2020,United States,Costa Rica,1,0,22,48,-26,-0.13,1.921150062,1.278586803,0.853189808,2.511484368
10/10/2020,Costa Rica,Panama,0,1,48,80,-32,-0.16,1.089037704,1.30970861,0.887015101,2.801009915
10/13/2020,Costa Rica,Panama,0,1,48,80,-32,-0.16,1.089037704,1.30970861,0.887015101,2.801009915
11/16/2020,United States,Panama,6,2,22,80,-58,-0.29,1.921150062,1.278586803,0.887015101,2.801009915
12/09/2020,United States,El Salvador,6,0,22,69,-47,-0.235,1.921150062,1.278586803,1.172121163,2.395941359
3/25/2021,United States,Jamaica,4,1,21,46,-25,-0.125,1.921150062,1.278586803,1.316085571,2.082587213
3/30/2021,Costa Rica,Mexico,0,1,50,10,40,0.2,1.089037704,1.30970861,1.4277284,1.787599909
06/03/2021,Mexico,Costa Rica,0,0,10,50,-40,-0.2,1.74650997,1.382989699,0.853189808,2.511484368
06/03/2021,United States,Honduras,1,0,21,66,-45,-0.225,1.921150062,1.278586803,0.888739384,3.040863016
06/06/2021,Honduras,Costa Rica,2,2,66,50,16,0.08,1.442923776,1.223455233,0.853189808,2.511484368
06/06/2021,United States,Mexico,3,2,21,10,11,0.055,1.921150062,1.278586803,1.4277284,1.787599909
06/09/2021,United States,Costa Rica,4,0,21,50,-29,-0.145,1.921150062,1.278586803,0.853189808,2.511484368
06/12/2021,Mexico,Honduras,0,0,10,66,-56,-0.28,1.74650997,1.382989699,0.888739384,3.040863016
6/30/2021,Mexico,Panama,3,0,10,78,-68,-0.34,1.74650997,1.382989699,0.887015101,2.801009915
7/17/2021,Panama,Honduras,2,3,78,66,12,0.06,1.704020369,1.524614396,0.888739384,3.040863016
7/18/2021,Mexico,El Salvador,1,0,10,69,-59,-0.295,1.74650997,1.382989699,1.172121163,2.395941359
7/18/2021,United States,Canada,1,0,21,71,-50,-0.25,1.921150062,1.278586803,2.174797551,1.907008271
7/20/2021,Costa Rica,Jamaica,1,0,50,46,4,0.02,1.089037704,1.30970861,1.316085571,2.082587213
7/24/2021,Mexico,Honduras,3,0,10,66,-56,-0.28,1.74650997,1.382989699,0.888739384,3.040863016
7/25/2021,Costa Rica,Canada,0,2,50,71,-21,-0.105,1.089037704,1.30970861,2.174797551,1.907008271
7/25/2021,United States,Jamaica,1,0,21,46,-25,-0.125,1.921150062,1.278586803,1.316085571,2.082587213
7/29/2021,Mexico,Canada,2,1,10,71,-61,-0.305,1.74650997,1.382989699,2.174797551,1.907008271
08/01/2021,United States,Mexico,1,0,21,10,11,0.055,1.921150062,1.278586803,1.4277284,1.787599909
