Home,Away,H_rank,A_rank,Rank_diff,Rank_value,Home_GF,Home_GA,Away_GF,Away_GA,H_attack,H_defence,A_attack,A_defence
Costa Rica,New Zealand,50,121,-71,-0.1775,1.239961297,0.821964199,1.527777778,1.866666667,0.862744155,1.037561366,1.038904015,1.097709903
Ecuador,Japan,54,28,26,0.065,2.128879892,1.256410256,1.675,0.691666667,1.406581357,1.229819563,1.724104235,0.507115236
New Zealand,Costa Rica,121,50,71,0.1775,0.921568628,1.176470588,0.971428571,1.576190476,0.414706297,1.05000105,1.226229508,1.096686747
Japan,Ecuador,28,54,-26,-0.065,2.552188552,0.962542088,1.037878788,1.504456328,1.871210168,0.990759934,1.015913099,0.994015788
